Year,Week,UC_name,cases,week_start
2023,21,ASGHAR MALL SCHEME,0,2023-05-22
2023,22,ASGHAR MALL SCHEME,0,2023-05-29
2023,23,ASGHAR MALL SCHEME,0,2023-06-05
2023,24,ASGHAR MALL SCHEME,0,2023-06-12
2023,25,ASGHAR MALL SCHEME,0,2023-06-19
2023,26,ASGHAR MALL SCHEME,0,2023-06-26
2023,27,ASGHAR MALL SCHEME,0,2023-07-03
2023,28,ASGHAR MALL SCHEME,0,2023-07-10
2023,29,ASGHAR MALL SCHEME,0,2023-07-17
2023,30,ASGHAR MALL SCHEME,0,2023-07-24
2023,31,ASGHAR MALL SCHEME,0,2023-07-31
2023,32,ASGHAR MALL SCHEME,0,2023-08-07
2023,33,ASGHAR MALL SCHEME,0,2023-08-14
2023,34,ASGHAR MALL SCHEME,0,2023-08-21
2023,35,ASGHAR MALL SCHEME,0,2023-08-28
2023,36,ASGHAR MALL SCHEME,0,2023-09-04
2023,37,ASGHAR MALL SCHEME,0,2023-09-11
2023,38,ASGHAR MALL SCHEME,0,2023-09-18
2023,39,ASGHAR MALL SCHEME,1,2023-09-25
2023,40,ASGHAR MALL SCHEME,2,2023-10-02
2023,41,ASGHAR MALL SCHEME,0,2023-10-09
2023,42,ASGHAR MALL SCHEME,0,2023-10-16
2023,43,ASGHAR MALL SCHEME,0,2023-10-23
2023,44,ASGHAR MALL SCHEME,0,2023-10-30
2023,45,ASGHAR MALL SCHEME,0,2023-11-06
2023,46,ASGHAR MALL SCHEME,0,2023-11-13
2023,47,ASGHAR MALL SCHEME,0,2023-11-20
2023,48,ASGHAR MALL SCHEME,0,2023-11-27
2023,49,ASGHAR MALL SCHEME,0,2023-12-04
2023,50,ASGHAR MALL SCHEME,0,2023-12-11
2023,51,ASGHAR MALL SCHEME,0,2023-12-18
2023,52,ASGHAR MALL SCHEME,0,2023-12-25
2024,1,ASGHAR MALL SCHEME,0,2024-01-01
2024,2,ASGHAR MALL SCHEME,0,2024-01-08
2024,3,ASGHAR MALL SCHEME,0,2024-01-15
2024,4,ASGHAR MALL SCHEME,0,2024-01-22
2024,5,ASGHAR MALL SCHEME,0,2024-01-29
2024,6,ASGHAR MALL SCHEME,0,2024-02-05
2024,7,ASGHAR MALL SCHEME,0,2024-02-12
2024,8,ASGHAR MALL SCHEME,0,2024-02-19
2024,9,ASGHAR MALL SCHEME,0,2024-02-26
2024,10,ASGHAR MALL SCHEME,0,2024-03-04
2024,11,ASGHAR MALL SCHEME,0,2024-03-11
2024,12,ASGHAR MALL SCHEME,0,2024-03-18
2024,13,ASGHAR MALL SCHEME,0,2024-03-25
2024,14,ASGHAR MALL SCHEME,0,2024-04-01
2024,15,ASGHAR MALL SCHEME,0,2024-04-08
2024,16,ASGHAR MALL SCHEME,0,2024-04-15
2024,17,ASGHAR MALL SCHEME,0,2024-04-22
2024,18,ASGHAR MALL SCHEME,0,2024-04-29
2024,19,ASGHAR MALL SCHEME,0,2024-05-06
2024,20,ASGHAR MALL SCHEME,0,2024-05-13
2024,21,ASGHAR MALL SCHEME,0,2024-05-20
2024,22,ASGHAR MALL SCHEME,0,2024-05-27
2024,23,ASGHAR MALL SCHEME,0,2024-06-03
2024,24,ASGHAR MALL SCHEME,0,2024-06-10
2024,25,ASGHAR MALL SCHEME,0,2024-06-17
2024,26,ASGHAR MALL SCHEME,0,2024-06-24
2024,27,ASGHAR MALL SCHEME,0,2024-07-01
2024,28,ASGHAR MALL SCHEME,0,2024-07-08
2024,29,ASGHAR MALL SCHEME,0,2024-07-15
2024,30,ASGHAR MALL SCHEME,0,2024-07-22
2024,31,ASGHAR MALL SCHEME,0,2024-07-29
2024,32,ASGHAR MALL SCHEME,0,2024-08-05
2024,33,ASGHAR MALL SCHEME,0,2024-08-12
2024,34,ASGHAR MALL SCHEME,0,2024-08-19
2024,35,ASGHAR MALL SCHEME,0,2024-08-26
2024,36,ASGHAR MALL SCHEME,0,2024-09-02
2024,37,ASGHAR MALL SCHEME,0,2024-09-09
2024,38,ASGHAR MALL SCHEME,0,2024-09-16
2024,39,ASGHAR MALL SCHEME,0,2024-09-23
2024,40,ASGHAR MALL SCHEME,0,2024-09-30
2024,41,ASGHAR MALL SCHEME,0,2024-10-07
2024,42,ASGHAR MALL SCHEME,1,2024-10-14
2024,43,ASGHAR MALL SCHEME,1,2024-10-21
2024,44,ASGHAR MALL SCHEME,3,2024-10-28
2024,45,ASGHAR MALL SCHEME,3,2024-11-04
2024,46,ASGHAR MALL SCHEME,0,2024-11-11
2024,47,ASGHAR MALL SCHEME,1,2024-11-18
2024,48,ASGHAR MALL SCHEME,0,2024-11-25
2024,49,ASGHAR MALL SCHEME,0,2024-12-02
2024,50,ASGHAR MALL SCHEME,0,2024-12-09
2024,51,ASGHAR MALL SCHEME,0,2024-12-16
2024,52,ASGHAR MALL SCHEME,0,2024-12-23
2021,1,Adiala,0,2021-01-04
2021,2,Adiala,0,2021-01-11
2021,3,Adiala,0,2021-01-18
2021,4,Adiala,0,2021-01-25
2021,5,Adiala,0,2021-02-01
2021,6,Adiala,0,2021-02-08
2021,7,Adiala,0,2021-02-15
2021,8,Adiala,0,2021-02-22
2021,9,Adiala,0,2021-03-01
2021,10,Adiala,0,2021-03-08
2021,11,Adiala,0,2021-03-15
2021,12,Adiala,0,2021-03-22
2021,13,Adiala,0,2021-03-29
2021,14,Adiala,0,2021-04-05
2021,15,Adiala,0,2021-04-12
2021,16,Adiala,0,2021-04-19
2021,17,Adiala,0,2021-04-26
2021,18,Adiala,0,2021-05-03
2021,19,Adiala,0,2021-05-10
2021,20,Adiala,0,2021-05-17
2021,21,Adiala,0,2021-05-24
2021,22,Adiala,0,2021-05-31
2021,23,Adiala,0,2021-06-07
2021,24,Adiala,0,2021-06-14
2021,25,Adiala,0,2021-06-21
2021,26,Adiala,0,2021-06-28
2021,27,Adiala,0,2021-07-05
2021,28,Adiala,0,2021-07-12
2021,29,Adiala,0,2021-07-19
2021,30,Adiala,0,2021-07-26
2021,31,Adiala,0,2021-08-02
2021,32,Adiala,0,2021-08-09
2021,33,Adiala,0,2021-08-16
2021,34,Adiala,0,2021-08-23
2021,35,Adiala,0,2021-08-30
2021,36,Adiala,0,2021-09-06
2021,37,Adiala,0,2021-09-13
2021,38,Adiala,0,2021-09-20
2021,39,Adiala,0,2021-09-27
2021,40,Adiala,0,2021-10-04
2021,41,Adiala,0,2021-10-11
2021,42,Adiala,0,2021-10-18
2021,43,Adiala,1,2021-10-25
2021,44,Adiala,0,2021-11-01
2021,45,Adiala,1,2021-11-08
2021,46,Adiala,0,2021-11-15
2021,47,Adiala,0,2021-11-22
